gr_option,offset_mode,target_clkp_ns,insts,wirelength_um,total_power_mw,wns_ns,effective_clkp_ns,area_um2
1:1GR,none,0.10,59472,91637,29.5,-0.011,0.111,2296
1:1GR,none,0.12,46995,83180,23.0,-0.005,0.125,2108
1:1GR,none,0.15,44790,81885,18.0,0.001,0.149,1976
1:1GR,none,0.20,43672,72199,13.0,0.006,0.194,1886
1:1GR,none,0.25,43215,69993,10.4,0.014,0.236,1878
1:1GR,none,0.30,43045,66639,8.7,0.022,0.278,1912
1:1GR,none,0.35,42815,65531,7.5,0.027,0.323,1876
1:1GR,none,0.40,42685,65480,6.7,0.041,0.359,1912
3:2GR,0-offset,0.10,57919,73759,28.4,0.008,0.108,1898
3:2GR,0-offset,0.12,54403,71986,23.3,-0.004,0.124,1826
3:2GR,0-offset,0.15,52951,71602,18.4,-0.001,0.151,1777
3:2GR,0-offset,0.20,47918,72681,13.7,0.001,0.199,1726
3:2GR,0-offset,0.25,46307,65940,10.8,0.004,0.246,1680
3:2GR,0-offset,0.30,45677,63185,9.0,0.014,0.286,1703
3:2GR,0-offset,0.35,45319,63707,7.7,0.019,0.331,1659
3:2GR,0-offset,0.40,45253,62488,6.8,0.030,0.370,1690
3:2GR,mixed-offset,0.10,57429,73338,29.1,-0.011,0.111,1810
3:2GR,mixed-offset,0.12,44080,77240,23.3,-0.006,0.126,1694
3:2GR,mixed-offset,0.15,42490,65216,17.4,-0.003,0.153,1614
3:2GR,mixed-offset,0.20,41543,59613,12.5,0.007,0.193,1566
3:2GR,mixed-offset,0.25,41216,55371,10.0,0.017,0.233,1590
3:2GR,mixed-offset,0.30,41144,54463,8.4,0.031,0.269,1624
3:2GR,mixed-offset,0.35,41112,56735,7.3,0.036,0.314,1588
3:2GR,mixed-offset,0.40,41087,55264,6.5,0.040,0.360,1553
5:3GR,0-offset,0.10,59541,77526,27.2,-0.004,0.104,1962
5:3GR,0-offset,0.12,57871,81707,23.3,-0.004,0.124,1836
5:3GR,0-offset,0.15,52984,69595,17.5,0.001,0.149,1742
5:3GR,0-offset,0.20,47065,73821,13.3,0.002,0.198,1726
5:3GR,0-offset,0.25,54111,72639,10.8,0.008,0.242,1802
5:3GR,0-offset,0.30,53054,69966,9.1,0.014,0.286,1816
5:3GR,0-offset,0.35,52554,69677,7.8,0.023,0.327,1789
5:3GR,0-offset,0.40,52623,68174,6.9,0.033,0.367,1802
5:3GR,mixed-offset,0.10,54311,72570,28.0,-0.008,0.108,1888
5:3GR,mixed-offset,0.12,50951,69274,22.4,-0.009,0.129,1763
5:3GR,mixed-offset,0.15,41213,71586,17.5,-0.003,0.153,1586
5:3GR,mixed-offset,0.20,39900,66768,12.9,0.005,0.195,1511
5:3GR,mixed-offset,0.25,39594,63838,10.1,0.010,0.240,1486
5:3GR,mixed-offset,0.30,38980,56642,8.4,0.023,0.277,1497
5:3GR,mixed-offset,0.35,38808,54316,7.2,0.030,0.320,1490
5:3GR,mixed-offset,0.40,38752,55189,6.3,0.053,0.347,1555
2:1GR,none,0.10,59293,85761.005,29.606,-0.005,0.10505,1973.886
2:1GR,none,0.12,48769,80388.56,23.96,-0.01,0.1301,1826.012
2:1GR,none,0.15,46456.5,81637.86,18.7205,0,0.15,1701.311
2:1GR,none,0.20,44845,70842.98,13.3,0.01,0.19015,1646.076
2:1GR,none,0.25,43987,72997.945,10.645,0.02,0.23005,1610.487
2:1GR,none,0.30,43709,76911.56,9.022,0.02,0.2802,1599.309
2:1GR,none,0.35,43511,72097.77,7.85,0.03,0.3198,1601.104
2:1GR,none,0.40,43331,69774.22,6.94,0.05,0.3501,1601.104
